Type,Variable,
Gasto,agua,
Gasto,publico,
Gasto,foraneo,
Gasto,comunica,
Vivienda,biodigest,
Vivienda,disp_elect,
Electrodomestico,focos_inca,
Electrodomestico,focos_ahor,
Alimentacion,combustible,
Vivienda,calent_sol,
Vivienda,calent_gas,
Vivienda,medidor_luz,
Electrodomestico,bomba_agua,
Vivienda,tanque_gas,
Electrodomestico,aire_acond,
Vivienda,calefacc,
Perfil,telefono,
Perfil,celular,
Perfil,tv_paga,
Perfil,conex_inte,
Electrodomestico,num_ester,
Electrodomestico,num_grab,
Electrodomestico,num_radio,
Electrodomestico,num_tva,
Electrodomestico,num_tvd,
Electrodomestico,num_dvd,
Electrodomestico,num_video,
Electrodomestico,num_licua,
Electrodomestico,num_tosta,
Electrodomestico,num_micro,
Electrodomestico,num_refri,
Electrodomestico,num_estuf,
Electrodomestico,num_lavad,
Electrodomestico,num_planc,
Electrodomestico,num_maqui,
Electrodomestico,num_venti,
Electrodomestico,num_aspir,
Electrodomestico,num_compu,
Electrodomestico,num_impre,
Electrodomestico,num_juego,
Vivienda,tot_resid,
Vivienda,tot_hom,
Vivienda,tot_muj,
Vivienda,tot_hog,
Perfil,disc1,
Perfil,clase_hog,
Perfil,educa_jefe,
Perfil,tot_integ,
Perfil,hombres,
Perfil,mujeres,
Perfil,mayores,
Perfil,menores,
Perfil,p12_64,
Perfil,p65mas,
Perfil,ocupados,
Ingreso,otras_perc,
Perfil,est_socio,
Perfil,percep_ing,
Perfil,perc_ocupa,
Ingreso,trabajo,
Ingreso,sueldos,
Ingreso,horas_extr,
Ingreso,comisiones,
Ingreso,aguinaldo,
Ingreso,indemtrab,
Ingreso,otra_rem,
Ingreso,remu_espec,
Ingreso,industria,
Ingreso,comercio,
Ingreso,servicios,
Ingreso,agricolas,
Ingreso,pecuarios,
Ingreso,reproducc,
Ingreso,pesca, 
Ingreso,otros_trab,
Ingreso,utilidad,
Ingreso,arrenda,
Ingreso,jubilacion,
Ingreso,becas,
Ingreso,donativos,
Ingreso,remesas,
Ingreso,bene_gob,
Ingreso,transf_hog,
Ingreso,trans_inst,
Ingreso,otros_ing,
Gasto,ali_dentro,
Gasto,ali_fuera,
Gasto,tabaco,
Gasto,vestido,
Gasto,calzado,
Gasto,alquiler,
Gasto,pred_cons,
Gasto,cuidados,
Gasto,utensilios,
Gasto,enseres,
Gasto,atenc_ambu,
Gasto,hospital,
Gasto,adqui_vehi,
Gasto,refaccion,
Gasto,educacion,
Gasto,esparci,
Gasto,paq_turist,
Gasto,cuida_pers,
Gasto,acces_pers,
Gasto,otros_gas,
Gasto,transf_gas,
Gasto,retiro_inv,
Ingreso,prestamos,
Gasto,ero_nm_viv,
Gasto,ero_nm_hog,
Gasto,cuota_viv,
Gasto,material,
